company_key,filing_month_year,status,filing_date,expected_by,pdf_url,notes,last_checked
BAJAJ,2025-07,CLEAN,2025-07-21,,,sample data,2026-05-14T03:14:17.626633Z
BAJAJ,2025-08,CLEAN,2025-08-22,,,sample data,2026-05-14T03:14:17.626681Z
BAJAJ,2025-09,CLEAN,2025-09-19,,,sample data,2026-05-14T03:14:17.626720Z
BAJAJ,2025-10,CLEAN,2025-10-20,,,sample data,2026-05-14T03:14:17.626759Z
BAJAJ,2025-11,CLEAN,2025-11-17,,,sample data,2026-05-14T03:14:17.626797Z
BAJAJ,2025-12,CLEAN,2025-12-17,,,sample data,2026-05-14T03:14:17.626869Z
BAJAJ,2026-01,CLEAN,2026-01-17,,,sample data,2026-05-14T03:14:17.626920Z
BAJAJ,2026-02,CLEAN,2026-02-14,,,sample data,2026-05-14T03:14:17.626962Z
BAJAJ,2026-03,CLEAN,2026-03-20,,,sample data,2026-05-14T03:14:17.627001Z
BAJAJ,2026-04,CLEAN,2026-04-17,,,sample data,2026-05-14T03:14:17.627040Z
EICHER,2024-11,CLEAN,2024-11-23,,,sample data,2026-05-14T03:14:17.627079Z
EICHER,2024-12,CLEAN,2024-12-21,,,sample data,2026-05-14T03:14:17.627118Z
EICHER,2025-01,CLEAN,2025-01-24,,,sample data,2026-05-14T03:14:17.627156Z
EICHER,2025-02,CLEAN,2025-02-23,,,sample data,2026-05-14T03:14:17.627195Z
EICHER,2025-03,CLEAN,2025-03-23,,,sample data,2026-05-14T03:14:17.627266Z
EICHER,2025-04,CLEAN,2025-04-20,,,sample data,2026-05-14T03:14:17.627326Z
EICHER,2025-05,CLEAN,2025-05-21,,,sample data,2026-05-14T03:14:17.627368Z
EICHER,2025-06,CLEAN,2025-06-21,,,sample data,2026-05-14T03:14:17.627407Z
EICHER,2025-07,CLEAN,2025-07-19,,,sample data,2026-05-14T03:14:17.627447Z
EICHER,2025-08,CLEAN,2025-08-18,,,sample data,2026-05-14T03:14:17.627485Z
EICHER,2025-09,CLEAN,2025-09-20,,,sample data,2026-05-14T03:14:17.627524Z
EICHER,2025-10,CLEAN,2025-10-20,,,sample data,2026-05-14T03:14:17.627562Z
EICHER,2025-11,CLEAN,2025-11-16,,,sample data,2026-05-14T03:14:17.627601Z
EICHER,2025-12,CLEAN,2025-12-19,,,sample data,2026-05-14T03:14:17.627639Z
EICHER,2026-01,CLEAN,2026-01-18,,,sample data,2026-05-14T03:14:17.627686Z
EICHER,2026-02,CLEAN,2026-02-18,,,sample data,2026-05-14T03:14:17.627724Z
EICHER,2026-03,CLEAN,2026-03-20,,,sample data,2026-05-14T03:14:17.627763Z
EICHER,2026-04,CLEAN,2026-04-15,,,sample data,2026-05-14T03:14:17.627802Z
ESCORTS,2024-11,CLEAN,2024-11-21,,,sample data,2026-05-14T03:14:17.627874Z
ESCORTS,2024-12,CLEAN,2024-12-25,,,sample data,2026-05-14T03:14:17.627923Z
ESCORTS,2025-01,CLEAN,2025-01-24,,,sample data,2026-05-14T03:14:17.627965Z
ESCORTS,2025-02,CLEAN,2025-02-21,,,sample data,2026-05-14T03:14:17.628004Z
ESCORTS,2025-03,CLEAN,2025-03-21,,,sample data,2026-05-14T03:14:17.628044Z
ESCORTS,2025-04,CLEAN,2025-04-20,,,sample data,2026-05-14T03:14:17.628083Z
ESCORTS,2025-05,CLEAN,2025-05-20,,,sample data,2026-05-14T03:14:17.628122Z
ESCORTS,2025-06,CLEAN,2025-06-21,,,sample data,2026-05-14T03:14:17.628160Z
ESCORTS,2025-07,CLEAN,2025-07-22,,,sample data,2026-05-14T03:14:17.628199Z
ESCORTS,2025-08,CLEAN,2025-08-19,,,sample data,2026-05-14T03:14:17.628237Z
ESCORTS,2025-09,CLEAN,2025-09-21,,,sample data,2026-05-14T03:14:17.628275Z
ESCORTS,2025-10,CLEAN,2025-10-20,,,sample data,2026-05-14T03:14:17.628315Z
ESCORTS,2025-11,CLEAN,2025-11-20,,,sample data,2026-05-14T03:14:17.628353Z
ESCORTS,2025-12,CLEAN,2025-12-16,,,sample data,2026-05-14T03:14:17.628391Z
ESCORTS,2026-01,CLEAN,2026-01-19,,,sample data,2026-05-14T03:14:17.628432Z
ESCORTS,2026-02,CLEAN,2026-02-16,,,sample data,2026-05-14T03:14:17.628486Z
ESCORTS,2026-03,CLEAN,2026-03-19,,,sample data,2026-05-14T03:14:17.628530Z
ESCORTS,2026-04,CLEAN,2026-04-18,,,sample data,2026-05-14T03:14:17.628568Z
HEROMOTOCO,2024-11,CLEAN,2024-11-23,,,sample data,2026-05-14T03:14:17.628606Z
HEROMOTOCO,2024-12,CLEAN,2024-12-23,,,sample data,2026-05-14T03:14:17.628644Z
HEROMOTOCO,2025-01,CLEAN,2025-01-23,,,sample data,2026-05-14T03:14:17.628690Z
HEROMOTOCO,2025-02,CLEAN,2025-02-23,,,sample data,2026-05-14T03:14:17.628728Z
HEROMOTOCO,2025-03,CLEAN,2025-03-21,,,sample data,2026-05-14T03:14:17.628766Z
HEROMOTOCO,2025-04,CLEAN,2025-04-23,,,sample data,2026-05-14T03:14:17.628805Z
HEROMOTOCO,2025-05,CLEAN,2025-05-24,,,sample data,2026-05-14T03:14:17.628881Z
HEROMOTOCO,2025-06,CLEAN,2025-06-19,,,sample data,2026-05-14T03:14:17.628930Z
HEROMOTOCO,2025-07,CLEAN,2025-07-19,,,sample data,2026-05-14T03:14:17.628970Z
HEROMOTOCO,2025-08,CLEAN,2025-08-19,,,sample data,2026-05-14T03:14:17.629009Z
HEROMOTOCO,2025-09,CLEAN,2025-09-19,,,sample data,2026-05-14T03:14:17.629048Z
HEROMOTOCO,2025-10,CLEAN,2025-10-21,,,sample data,2026-05-14T03:14:17.629086Z
HEROMOTOCO,2025-11,CLEAN,2025-11-19,,,sample data,2026-05-14T03:14:17.629125Z
HEROMOTOCO,2025-12,CLEAN,2025-12-18,,,sample data,2026-05-14T03:14:17.629163Z
HEROMOTOCO,2026-01,CLEAN,2026-01-17,,,sample data,2026-05-14T03:14:17.629201Z
HEROMOTOCO,2026-02,CLEAN,2026-02-15,,,sample data,2026-05-14T03:14:17.629240Z
HEROMOTOCO,2026-03,CLEAN,2026-03-19,,,sample data,2026-05-14T03:14:17.629278Z
HEROMOTOCO,2026-04,CLEAN,2026-04-17,,,sample data,2026-05-14T03:14:17.629316Z
MAHINDRA_AUTO,2024-11,CLEAN,2024-11-21,,,sample data,2026-05-14T03:14:17.629355Z
MAHINDRA_AUTO,2024-12,CLEAN,2024-12-22,,,sample data,2026-05-14T03:14:17.629400Z
MAHINDRA_AUTO,2025-01,CLEAN,2025-01-24,,,sample data,2026-05-14T03:14:17.629440Z
MAHINDRA_AUTO,2025-02,CLEAN,2025-02-23,,,sample data,2026-05-14T03:14:17.629478Z
MAHINDRA_AUTO,2025-03,CLEAN,2025-03-22,,,sample data,2026-05-14T03:14:17.629516Z
MAHINDRA_AUTO,2025-04,CLEAN,2025-04-23,,,sample data,2026-05-14T03:14:17.629555Z
MAHINDRA_AUTO,2025-05,CLEAN,2025-05-22,,,sample data,2026-05-14T03:14:17.629593Z
MAHINDRA_AUTO,2025-06,CLEAN,2025-06-20,,,sample data,2026-05-14T03:14:17.629631Z
MAHINDRA_AUTO,2025-07,CLEAN,2025-07-23,,,sample data,2026-05-14T03:14:17.629677Z
MAHINDRA_AUTO,2025-08,CLEAN,2025-08-19,,,sample data,2026-05-14T03:14:17.629715Z
MAHINDRA_AUTO,2025-09,CLEAN,2025-09-19,,,sample data,2026-05-14T03:14:17.629754Z
MAHINDRA_AUTO,2025-10,CLEAN,2025-10-19,,,sample data,2026-05-14T03:14:17.629791Z
MAHINDRA_AUTO,2025-11,CLEAN,2025-11-19,,,sample data,2026-05-14T03:14:17.629858Z
MAHINDRA_AUTO,2025-12,CLEAN,2025-12-19,,,sample data,2026-05-14T03:14:17.629912Z
MAHINDRA_AUTO,2026-01,CLEAN,2026-01-18,,,sample data,2026-05-14T03:14:17.629955Z
MAHINDRA_AUTO,2026-02,CLEAN,2026-02-14,,,sample data,2026-05-14T03:14:17.629994Z
MAHINDRA_AUTO,2026-03,CLEAN,2026-03-17,,,sample data,2026-05-14T03:14:17.630033Z
MAHINDRA_AUTO,2026-04,CLEAN,2026-04-17,,,sample data,2026-05-14T03:14:17.630072Z
MAHINDRA_FARM,2024-11,CLEAN,2024-11-21,,,sample data,2026-05-14T03:14:17.630111Z
MAHINDRA_FARM,2024-12,CLEAN,2024-12-22,,,sample data,2026-05-14T03:14:17.630150Z
MAHINDRA_FARM,2025-01,CLEAN,2025-01-23,,,sample data,2026-05-14T03:14:17.630188Z
MAHINDRA_FARM,2025-02,CLEAN,2025-02-21,,,sample data,2026-05-14T03:14:17.630227Z
MAHINDRA_FARM,2025-03,CLEAN,2025-03-22,,,sample data,2026-05-14T03:14:17.630264Z
MAHINDRA_FARM,2025-04,CLEAN,2025-04-20,,,sample data,2026-05-14T03:14:17.630302Z
MAHINDRA_FARM,2025-05,CLEAN,2025-05-24,,,sample data,2026-05-14T03:14:17.630340Z
MAHINDRA_FARM,2025-06,CLEAN,2025-06-21,,,sample data,2026-05-14T03:14:17.630378Z
MAHINDRA_FARM,2025-07,CLEAN,2025-07-20,,,sample data,2026-05-14T03:14:17.630416Z
MAHINDRA_FARM,2025-08,CLEAN,2025-08-22,,,sample data,2026-05-14T03:14:17.630453Z
MAHINDRA_FARM,2025-09,CLEAN,2025-09-21,,,sample data,2026-05-14T03:14:17.630491Z
MAHINDRA_FARM,2025-10,CLEAN,2025-10-19,,,sample data,2026-05-14T03:14:17.630529Z
MAHINDRA_FARM,2025-11,CLEAN,2025-11-19,,,sample data,2026-05-14T03:14:17.630567Z
MAHINDRA_FARM,2025-12,CLEAN,2025-12-18,,,sample data,2026-05-14T03:14:17.630605Z
MAHINDRA_FARM,2026-01,CLEAN,2026-01-19,,,sample data,2026-05-14T03:14:17.630643Z
MAHINDRA_FARM,2026-02,CLEAN,2026-02-16,,,sample data,2026-05-14T03:14:17.630689Z
MAHINDRA_FARM,2026-03,CLEAN,2026-03-20,,,sample data,2026-05-14T03:14:17.630726Z
MAHINDRA_FARM,2026-04,CLEAN,2026-04-16,,,sample data,2026-05-14T03:14:17.630764Z
MARUTI,2024-11,CLEAN,2024-11-23,,,sample data,2026-05-14T03:14:17.630802Z
MARUTI,2024-12,CLEAN,2024-12-24,,,sample data,2026-05-14T03:14:17.630872Z
MARUTI,2025-01,CLEAN,2025-01-24,,,sample data,2026-05-14T03:14:17.630924Z
MARUTI,2025-02,CLEAN,2025-02-21,,,sample data,2026-05-14T03:14:17.630966Z
MARUTI,2025-03,CLEAN,2025-03-25,,,sample data,2026-05-14T03:14:17.631006Z
MARUTI,2025-04,CLEAN,2025-04-24,,,sample data,2026-05-14T03:14:17.631046Z
MARUTI,2025-05,CLEAN,2025-05-21,,,sample data,2026-05-14T03:14:17.631085Z
MARUTI,2025-06,CLEAN,2025-06-23,,,sample data,2026-05-14T03:14:17.631124Z
MARUTI,2025-07,CLEAN,2025-07-23,,,sample data,2026-05-14T03:14:17.631163Z
MARUTI,2025-08,CLEAN,2025-08-22,,,sample data,2026-05-14T03:14:17.631201Z
MARUTI,2025-09,CLEAN,2025-09-20,,,sample data,2026-05-14T03:14:17.631279Z
MARUTI,2025-10,CLEAN,2025-10-18,,,sample data,2026-05-14T03:14:17.631383Z
MARUTI,2025-11,CLEAN,2025-11-20,,,sample data,2026-05-14T03:14:17.631440Z
MARUTI,2025-12,CLEAN,2025-12-19,,,sample data,2026-05-14T03:14:17.631481Z
MARUTI,2026-01,CLEAN,2026-01-15,,,sample data,2026-05-14T03:14:17.631520Z
MARUTI,2026-02,CLEAN,2026-02-17,,,sample data,2026-05-14T03:14:17.631559Z
MARUTI,2026-03,CLEAN,2026-03-16,,,sample data,2026-05-14T03:14:17.631598Z
MARUTI,2026-04,CLEAN,2026-04-19,,,sample data,2026-05-14T03:14:17.631637Z
OLA_ELECTRIC,2024-11,CLEAN,2024-11-24,,,sample data,2026-05-14T03:14:17.631690Z
OLA_ELECTRIC,2024-12,CLEAN,2024-12-23,,,sample data,2026-05-14T03:14:17.631752Z
OLA_ELECTRIC,2025-01,CLEAN,2025-01-20,,,sample data,2026-05-14T03:14:17.631795Z
OLA_ELECTRIC,2025-02,CLEAN,2025-02-22,,,sample data,2026-05-14T03:14:17.631868Z
OLA_ELECTRIC,2025-03,CLEAN,2025-03-24,,,sample data,2026-05-14T03:14:17.631920Z
OLA_ELECTRIC,2025-04,CLEAN,2025-04-21,,,sample data,2026-05-14T03:14:17.631962Z
OLA_ELECTRIC,2025-05,CLEAN,2025-05-21,,,sample data,2026-05-14T03:14:17.632002Z
OLA_ELECTRIC,2025-06,CLEAN,2025-06-23,,,sample data,2026-05-14T03:14:17.632041Z
OLA_ELECTRIC,2025-07,CLEAN,2025-07-20,,,sample data,2026-05-14T03:14:17.632080Z
OLA_ELECTRIC,2025-08,CLEAN,2025-08-21,,,sample data,2026-05-14T03:14:17.632119Z
OLA_ELECTRIC,2025-09,CLEAN,2025-09-21,,,sample data,2026-05-14T03:14:17.632158Z
OLA_ELECTRIC,2025-10,CLEAN,2025-10-18,,,sample data,2026-05-14T03:14:17.632196Z
OLA_ELECTRIC,2025-11,CLEAN,2025-11-20,,,sample data,2026-05-14T03:14:17.632235Z
OLA_ELECTRIC,2025-12,CLEAN,2025-12-19,,,sample data,2026-05-14T03:14:17.632273Z
OLA_ELECTRIC,2026-01,CLEAN,2026-01-15,,,sample data,2026-05-14T03:14:17.632312Z
OLA_ELECTRIC,2026-02,CLEAN,2026-02-15,,,sample data,2026-05-14T03:14:17.632350Z
OLA_ELECTRIC,2026-03,CLEAN,2026-03-20,,,sample data,2026-05-14T03:14:17.632388Z
OLA_ELECTRIC,2026-04,CLEAN,2026-04-16,,,sample data,2026-05-14T03:14:17.632427Z
TATAMOTORS_CV,2024-11,CLEAN,2024-11-21,,,sample data,2026-05-14T03:14:17.632466Z
TATAMOTORS_CV,2024-12,CLEAN,2024-12-22,,,sample data,2026-05-14T03:14:17.632530Z
TATAMOTORS_CV,2025-01,CLEAN,2025-01-23,,,sample data,2026-05-14T03:14:17.632595Z
TATAMOTORS_CV,2025-02,CLEAN,2025-02-21,,,sample data,2026-05-14T03:14:17.632682Z
TATAMOTORS_CV,2025-03,CLEAN,2025-03-25,,,sample data,2026-05-14T03:14:17.632739Z
TATAMOTORS_CV,2025-04,CLEAN,2025-04-20,,,sample data,2026-05-14T03:14:17.632779Z
TATAMOTORS_CV,2025-05,CLEAN,2025-05-22,,,sample data,2026-05-14T03:14:17.632818Z
TATAMOTORS_CV,2025-06,CLEAN,2025-06-23,,,sample data,2026-05-14T03:14:17.632900Z
TATAMOTORS_CV,2025-07,CLEAN,2025-07-20,,,sample data,2026-05-14T03:14:17.632944Z
TATAMOTORS_CV,2025-08,CLEAN,2025-08-18,,,sample data,2026-05-14T03:14:17.632985Z
TATAMOTORS_CV,2025-09,CLEAN,2025-09-20,,,sample data,2026-05-14T03:14:17.633048Z
TATAMOTORS_CV,2025-10,CLEAN,2025-10-17,,,sample data,2026-05-14T03:14:17.633114Z
TATAMOTORS_CV,2025-11,CLEAN,2025-11-17,,,sample data,2026-05-14T03:14:17.633176Z
TATAMOTORS_CV,2025-12,CLEAN,2025-12-19,,,sample data,2026-05-14T03:14:17.633250Z
TATAMOTORS_CV,2026-01,CLEAN,2026-01-17,,,sample data,2026-05-14T03:14:17.633314Z
TATAMOTORS_CV,2026-02,CLEAN,2026-02-17,,,sample data,2026-05-14T03:14:17.633355Z
TATAMOTORS_CV,2026-03,CLEAN,2026-03-16,,,sample data,2026-05-14T03:14:17.633394Z
TATAMOTORS_CV,2026-04,CLEAN,2026-04-18,,,sample data,2026-05-14T03:14:17.633433Z
TATAMOTORS_PV,2024-11,CLEAN,2024-11-21,,,sample data,2026-05-14T03:14:17.633472Z
TATAMOTORS_PV,2024-12,CLEAN,2024-12-25,,,sample data,2026-05-14T03:14:17.633510Z
TATAMOTORS_PV,2025-01,CLEAN,2025-01-23,,,sample data,2026-05-14T03:14:17.633548Z
TATAMOTORS_PV,2025-02,CLEAN,2025-02-21,,,sample data,2026-05-14T03:14:17.633586Z
TATAMOTORS_PV,2025-03,CLEAN,2025-03-24,,,sample data,2026-05-14T03:14:17.633643Z
TATAMOTORS_PV,2025-04,CLEAN,2025-04-23,,,sample data,2026-05-14T03:14:17.633738Z
TATAMOTORS_PV,2025-05,CLEAN,2025-05-21,,,sample data,2026-05-14T03:14:17.633817Z
TATAMOTORS_PV,2025-06,CLEAN,2025-06-23,,,sample data,2026-05-14T03:14:17.633929Z
TATAMOTORS_PV,2025-07,CLEAN,2025-07-21,,,sample data,2026-05-14T03:14:17.633998Z
TATAMOTORS_PV,2025-08,CLEAN,2025-08-18,,,sample data,2026-05-14T03:14:17.634081Z
TATAMOTORS_PV,2025-09,CLEAN,2025-09-18,,,sample data,2026-05-14T03:14:17.634143Z
TATAMOTORS_PV,2025-10,CLEAN,2025-10-19,,,sample data,2026-05-14T03:14:17.634185Z
TATAMOTORS_PV,2025-11,CLEAN,2025-11-17,,,sample data,2026-05-14T03:14:17.634256Z
TATAMOTORS_PV,2025-12,CLEAN,2025-12-20,,,sample data,2026-05-14T03:14:17.634317Z
TATAMOTORS_PV,2026-01,CLEAN,2026-01-18,,,sample data,2026-05-14T03:14:17.634360Z
TATAMOTORS_PV,2026-02,CLEAN,2026-02-17,,,sample data,2026-05-14T03:14:17.634426Z
TATAMOTORS_PV,2026-03,CLEAN,2026-03-19,,,sample data,2026-05-14T03:14:17.634497Z
TATAMOTORS_PV,2026-04,CLEAN,2026-04-15,,,sample data,2026-05-14T03:14:17.634546Z
TVS,2024-11,CLEAN,2024-11-22,,,sample data,2026-05-14T03:14:17.634585Z
TVS,2024-12,CLEAN,2024-12-21,,,sample data,2026-05-14T03:14:17.634623Z
TVS,2025-01,CLEAN,2025-01-20,,,sample data,2026-05-14T03:14:17.634687Z
TVS,2025-02,CLEAN,2025-02-19,,,sample data,2026-05-14T03:14:17.634781Z
TVS,2025-03,CLEAN,2025-03-21,,,sample data,2026-05-14T03:14:17.634894Z
TVS,2025-04,CLEAN,2025-04-23,,,sample data,2026-05-14T03:14:17.634961Z
TVS,2025-05,CLEAN,2025-05-22,,,sample data,2026-05-14T03:14:17.635005Z
TVS,2025-06,CLEAN,2025-06-23,,,sample data,2026-05-14T03:14:17.635070Z
TVS,2025-07,CLEAN,2025-07-21,,,sample data,2026-05-14T03:14:17.635146Z
TVS,2025-08,CLEAN,2025-08-19,,,sample data,2026-05-14T03:14:17.635192Z
TVS,2025-09,CLEAN,2025-09-19,,,sample data,2026-05-14T03:14:17.635231Z
TVS,2025-10,CLEAN,2025-10-17,,,sample data,2026-05-14T03:14:17.635356Z
TVS,2025-11,CLEAN,2025-11-16,,,sample data,2026-05-14T03:14:17.635433Z
TVS,2025-12,CLEAN,2025-12-20,,,sample data,2026-05-14T03:14:17.635504Z
TVS,2026-01,CLEAN,2026-01-16,,,sample data,2026-05-14T03:14:17.635565Z
TVS,2026-02,CLEAN,2026-02-15,,,sample data,2026-05-14T03:14:17.635636Z
TVS,2026-03,CLEAN,2026-03-18,,,sample data,2026-05-14T03:14:17.635690Z
TVS,2026-04,CLEAN,2026-04-16,,,sample data,2026-05-14T03:14:17.635730Z
