filing_month_year,segment,retail_total,yoy_pct,source,filing_date,source_url,notes
2025-06,3W,99923,0.0816,FADA,2025-07-02,https://fada.in/media-press-releases/,
2025-06,CV,52431,0.0639,FADA,2025-07-02,https://fada.in/media-press-releases/,
2025-06,Tractor,51266,0.0637,FADA,2025-07-02,https://fada.in/media-press-releases/,
2025-06,EV,37591,0.1613,FADA,2025-07-02,https://fada.in/media-press-releases/,
2025-07,PV,222978,-0.002,FADA,2025-08-01,https://fada.in/media-press-releases/,
2025-07,2W,915723,0.0629,FADA,2025-08-01,https://fada.in/media-press-releases/,
2025-07,3W,103134,0.0609,FADA,2025-08-01,https://fada.in/media-press-releases/,
2025-07,CV,53936,0.0694,FADA,2025-08-01,https://fada.in/media-press-releases/,
2025-07,Tractor,52436,0.0805,FADA,2025-08-01,https://fada.in/media-press-releases/,
2025-07,EV,40869,0.2186,FADA,2025-08-01,https://fada.in/media-press-releases/,
2025-08,PV,241934,0.0816,FADA,2025-09-03,https://fada.in/media-press-releases/,
2025-08,2W,980600,0.0508,FADA,2025-09-03,https://fada.in/media-press-releases/,
2025-08,3W,114531,0.0779,FADA,2025-09-03,https://fada.in/media-press-releases/,
2025-08,CV,59052,0.0461,FADA,2025-09-03,https://fada.in/media-press-releases/,
2025-08,Tractor,39585,0.038,FADA,2025-09-03,https://fada.in/media-press-releases/,
2025-08,EV,41378,0.1307,FADA,2025-09-03,https://fada.in/media-press-releases/,
2025-09,PV,249979,-0.0082,FADA,2025-10-01,https://fada.in/media-press-releases/,
2025-09,2W,1072105,0.1033,FADA,2025-10-01,https://fada.in/media-press-releases/,
2025-09,3W,119256,0.0479,FADA,2025-10-01,https://fada.in/media-press-releases/,
2025-09,CV,62039,0.0263,FADA,2025-10-01,https://fada.in/media-press-releases/,
2025-09,Tractor,37450,0.0255,FADA,2025-10-01,https://fada.in/media-press-releases/,
2025-09,EV,45440,0.2035,FADA,2025-10-01,https://fada.in/media-press-releases/,
2025-10,PV,329819,0.0522,FADA,2025-11-05,https://fada.in/media-press-releases/,
2025-10,2W,1307769,0.0654,FADA,2025-11-05,https://fada.in/media-press-releases/,
2025-10,3W,148663,0.1253,FADA,2025-11-05,https://fada.in/media-press-releases/,
2025-10,CV,78964,0.1153,FADA,2025-11-05,https://fada.in/media-press-releases/,
2025-10,Tractor,40521,-0.0192,FADA,2025-11-05,https://fada.in/media-press-releases/,
2025-10,EV,57966,0.1925,FADA,2025-11-05,https://fada.in/media-press-releases/,
2025-11,PV,309663,0.0388,FADA,2025-12-05,https://fada.in/media-press-releases/,
2025-11,2W,1259081,0.0332,FADA,2025-12-05,https://fada.in/media-press-releases/,
2025-11,3W,135273,0.0265,FADA,2025-12-05,https://fada.in/media-press-releases/,
2025-11,CV,74677,0.0222,FADA,2025-12-05,https://fada.in/media-press-releases/,
2025-11,Tractor,44589,0.0265,FADA,2025-12-05,https://fada.in/media-press-releases/,
2025-11,EV,55062,0.1705,FADA,2025-12-05,https://fada.in/media-press-releases/,
2025-12,PV,278764,0.0184,FADA,2026-01-02,https://fada.in/media-press-releases/,
2025-12,2W,1192570,0.0769,FADA,2026-01-02,https://fada.in/media-press-releases/,
2025-12,3W,130160,0.0502,FADA,2026-01-02,https://fada.in/media-press-releases/,
2025-12,CV,66412,0.0229,FADA,2026-01-02,https://fada.in/media-press-releases/,
2025-12,Tractor,42509,0.0322,FADA,2026-01-02,https://fada.in/media-press-releases/,
2025-12,EV,49928,0.1946,FADA,2026-01-02,https://fada.in/media-press-releases/,
2026-01,PV,279738,0.0993,FADA,2026-02-05,https://fada.in/media-press-releases/,
2026-01,2W,1130422,0.0747,FADA,2026-02-05,https://fada.in/media-press-releases/,
2026-01,3W,126493,0.1142,FADA,2026-02-05,https://fada.in/media-press-releases/,
2026-01,CV,66447,0.0789,FADA,2026-02-05,https://fada.in/media-press-releases/,
2026-01,Tractor,46948,0.0445,FADA,2026-02-05,https://fada.in/media-press-releases/,
2026-01,EV,50464,0.2026,FADA,2026-02-05,https://fada.in/media-press-releases/,
2026-01,PV,279738,0.0993,FADA,2026-02-02,https://fada.in/media-press-releases/,
2026-01,2W,1130422,0.0747,FADA,2026-02-02,https://fada.in/media-press-releases/,
2026-01,3W,126493,0.1142,FADA,2026-02-02,https://fada.in/media-press-releases/,
2026-01,CV,66447,0.0789,FADA,2026-02-02,https://fada.in/media-press-releases/,
2026-01,Tractor,46948,0.0445,FADA,2026-02-02,https://fada.in/media-press-releases/,
2026-01,EV,50464,0.2026,FADA,2026-02-02,https://fada.in/media-press-releases/,
2026-03,PV,272285,-0.0031,FADA,2026-04-01,https://fada.in/media-press-releases/,
2026-03,2W,1204635,0.0757,FADA,2026-04-01,https://fada.in/media-press-releases/,
2026-03,3W,131758,0.1101,FADA,2026-04-01,https://fada.in/media-press-releases/,
2026-03,CV,70326,0.0575,FADA,2026-04-01,https://fada.in/media-press-releases/,
2026-03,Tractor,54327,0.0615,FADA,2026-04-01,https://fada.in/media-press-releases/,
2026-03,EV,51538,0.1509,FADA,2026-04-01,https://fada.in/media-press-releases/,
2026-04,PV,248268,0.0401,FADA,2026-05-01,https://fada.in/media-press-releases/,
2026-04,2W,1026571,0.0745,FADA,2026-05-01,https://fada.in/media-press-releases/,
2026-04,3W,105222,0.0097,FADA,2026-05-01,https://fada.in/media-press-releases/,
2026-04,CV,58236,0.0326,FADA,2026-05-01,https://fada.in/media-press-releases/,
2026-04,Tractor,48955,-0.0141,FADA,2026-05-01,https://fada.in/media-press-releases/,
2026-04,EV,46878,0.1802,FADA,2026-05-01,https://fada.in/media-press-releases/,
2026-05,PV,244314,0.0951,FADA,2026-06-01,https://fada.in/media-press-releases/,
2026-05,2W,954665,0.0575,FADA,2026-06-01,https://fada.in/media-press-releases/,
2026-05,3W,107824,0.0627,FADA,2026-06-01,https://fada.in/media-press-releases/,
2026-05,CV,58108,0.0732,FADA,2026-06-01,https://fada.in/media-press-releases/,
2026-05,Tractor,43936,0.0537,FADA,2026-06-01,https://fada.in/media-press-releases/,
2026-05,EV,47412,0.1751,FADA,2026-06-01,https://fada.in/media-press-releases/,
